"Summarization Ratio","Sum Size"
0.97336227308603,3047800
0.983050847457627,3053054
0.989870616275111,3032330
0.998809618284263,3034657
1.00815963207477,3065147
1.01541024573095,3118144
1.02276581865623,3189202
1.02888861629048,3285378
1.03598331208715,3393910
1.04066907182683,3517965
1.04604853764779,3648464
1.05179636291952,3788138
1.05728529771423,3921792
1.06067133369234,4075439
1.06670391541668,4227600
1.0681071311206,4427801
1.06995982037343,4597913
1.07483483939555,4763525
1.07904761904762,4921122
1.0815157835201,5076107
1.08483211379334,5225913
1.08803551903515,5379858
1.0911750522424,5524138
1.0931692538339,5665355
1.09572753535046,5806153
1.09981888898786,5927327
1.10283245875975,6043276
1.10486223203919,6158792
1.10795155344918,6274749
1.11042311661507,6376322
1.11371089249313,2093015
1.11405941650221,6455692
1.11472715318869,2198093
1.11767018794726,6540100
1.119012951184,2305114
1.12069009980143,6623905
1.12308883297852,1977288
1.12340349897164,6695430
1.12633897287016,6759443
1.1288507322704,2406758
1.1294663802257,6823939
1.13206121752693,6883369
1.13490295895641,1872194
1.13510259127252,6933581
1.13549657185527,2525731
1.1386836963256,6978222
1.14172485374599,7018878
1.14483000350508,7054659
1.14496756374847,2642285
1.14886416318962,7076274
1.15233036720241,7098835
1.15573209149432,7122535
1.15929243678422,7137253
1.15970861900098,2753385
1.16268115125425,7151322
1.16558383367685,7160618
1.16743690010665,1733167
1.16790654422876,2900169
1.16967372153705,7164255
1.17201534742398,7170264
1.17555565374928,7168538
1.1791442366391,3033298
1.18985999151464,3164740
1.19574791192103,3310253
1.2072238718785,3439058
1.21680254896448,3569638
1.22479361212613,3698774
1.22729046524737,3839978
1.23599748269352,3962987
1.24527994791667,4087457
1.25127113633676,4215682
1.25946070170063,4336656
1.26566574770881,4451916
1.27324271280076,4552940
1.27836841732228,4662779
1.28303583783036,4767422
1.2935620859521,4851174
1.29987678577375,4942789
1.30926889958419,5024560
1.31639418125644,5103188
1.32369246364875,5179247
1.33139734582358,5251402
1.33805593199458,5313026
1.3456204379562,5370757
1.35122068406354,5427172
1.36129128235644,5466654
1.37004041417151,5506885
1.37843922692319,5547616
1.38971571420266,5572575
1.39807758919293,5603553
1.40591929794373,5630338
1.41329570398244,5654647
1.42242847411444,5672575
1.43035542747358,5686615
1.44045640231018,5692062
1.44967404743172,5698970
1.45864282310732,5701178
1.46756189676878,5701330
1.47813565956495,5693015
1.4864661024051,5693433
6.06641000962464,471376
6.10272536687631,434066
6.18181818181818,503684
6.22215777262181,399795
6.30829015544042,536103
6.49543946932007,566543
6.67277799920287,597895
6.92430124223603,624822
7.02064056939502,349606
7.23751429660694,653340
7.39559633027523,687982
7.57924662402274,721448
7.74724517906336,754553
7.97406534186595,785366
8.14117261709794,818327
8.29974489795918,851135
8.57250945775536,877511
8.87179487179487,905431
9.01863164324985,937469
9.36296975252062,961214
9.47093889716841,990287
9.59527283338197,1020748
9.79521199884626,1047466
9.95026996305769,1073476
10.1289325842697,1098025
10.2191894127378,1126280
10.3536452665941,1151702
10.5462162162162,1174738
10.7043385109802,1197673
10.7824367088608,1221768
10.9005221932115,1242416
10.9901935483871,1265054
11.1461222393426,1282857
11.2265109192484,1303341
11.4011156186613,1318056
11.4881850175968,1335876
11.6434127979925,1349991
11.7809762202753,1363499
11.8181367690783,1380608
11.9885912698413,1391497
12.1865969108122,1402060
12.2989562624254,1414330
12.4159841151651,1424359
12.518573551263,1433383
12.5997530864198,1446906
12.6746246615801,1454873
12.7193240264511,1465890
12.8274932614555,1474043
12.8938875305623,1481825
12.9860601614087,1486299
