Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates
0,1772,1407,2016,1604,168576
1,1133,1123,1401,1047,190314
2,492,113,1232,754,171719
3,567,441,580,723,160722
4,510,480,527,672,139355
5,493,55,895,679,135893
6,471,381,492,697,125530
7,426,416,612,658,113067
8,366,391,427,659,99313
9,445,421,414,592,100848
10,418,337,371,642,91566
11,429,47,773,569,86187
12,338,379,380,607,81442
13,388,50,678,611,75831
14,404,348,420,671,71709
15,388,43,643,582,70191
16,373,40,648,590,64138
17,412,337,463,588,60796
18,334,312,352,570,56601
19,338,475,484,546,52781
20,393,41,759,588,56519
21,338,52,667,572,49460
22,324,300,346,588,47348
23,428,467,348,586,46170
24,389,42,702,602,44263
25,298,334,537,548,46668
26,412,40,611,566,38692
27,454,38,789,620,37337
28,439,414,412,643,35902
29,393,396,430,558,34160
30,391,365,341,616,31910
31,439,40,879,611,31053
32,351,86,677,551,29488
33,396,411,470,572,33360
34,395,45,853,588,27939
35,470,395,489,586,25405
36,371,346,541,539,26823
37,415,413,517,551,24831
38,383,47,776,586,23307
39,397,375,394,525,23330
40,390,38,846,593,21995
41,367,363,437,574,19570
42,462,439,404,612,19678
43,353,331,369,556,19137
44,346,357,433,587,17848
45,464,379,426,553,18738
46,361,38,650,533,16723
47,375,48,782,581,17469
48,373,51,917,593,16413
49,340,48,729,582,15486
