k,model,config,f1
0,Characteristic Sets,SQ - 1k,0
0,Characteristic Sets,SQ - 100k,0
0,Characteristic Sets,SQ - 200k,0
0,W-Property Clique,SQ - 1k,0
0,W-Property Clique,SQ - 100k,0
0,W-Property Clique,SQ - 200k,0
0,SemSets,SQ - 1k,0.56
0,SemSets,SQ - 100k,0.57
0,SemSets,SQ - 200k,0.58
0,SchemEX,SQ - 1k,0.56
0,SchemEX,SQ - 100k,0.57
0,SchemEX,SQ - 200k,0.58
0,TermPicker,SQ - 1k,0.56
0,TermPicker,SQ - 100k,0.57
0,TermPicker,SQ - 200k,0.58
0,SchemEX+U+oI,SQ - 1k,0.44
0,SchemEX+U+oI,SQ - 100k,0.47
0,SchemEX+U+oI,SQ - 200k,0.47
0,SchemEX+U+pI,SQ - 1k,0.57
0,SchemEX+U+pI,SQ - 100k,0.59
0,SchemEX+U+pI,SQ - 200k,0.60
0,Characteristic Sets,CQ - 1k,0
0,Characteristic Sets,CQ - 100k,0
0,Characteristic Sets,CQ - 200k,0
0,W-Property Clique,CQ - 1k,0
0,W-Property Clique,CQ - 100k,0
0,W-Property Clique,CQ - 200k,0
0,SemSets,CQ - 1k,
0,SemSets,CQ - 100k,
0,SemSets,CQ - 200k,
0,SchemEX,CQ - 1k,
0,SchemEX,CQ - 100k,
0,SchemEX,CQ - 200k,
0,TermPicker,CQ - 1k,
0,TermPicker,CQ - 100k,
0,TermPicker,CQ - 200k,
0,SchemEX+U+oI,CQ - 1k,
0,SchemEX+U+oI,CQ - 100k,
0,SchemEX+U+oI,CQ - 200k,
0,SchemEX+U+pI,CQ - 1k,
0,SchemEX+U+pI,CQ - 100k,
0,SchemEX+U+pI,CQ - 200k,
1,Characteristic Sets,SQ - 1k,0
1,Characteristic Sets,SQ - 100k,0
1,Characteristic Sets,SQ - 200k,0
1,W-Property Clique,SQ - 1k,0
1,W-Property Clique,SQ - 100k,0
1,W-Property Clique,SQ - 200k,0
1,SemSets,SQ - 1k,0.49
1,SemSets,SQ - 100k,0.50
1,SemSets,SQ - 200k,0.50
1,SchemEX,SQ - 1k,0.49
1,SchemEX,SQ - 100k,0.50
1,SchemEX,SQ - 200k,0.50
1,TermPicker,SQ - 1k,0.36
1,TermPicker,SQ - 100k,0.37
1,TermPicker,SQ - 200k,0.37
1,SchemEX+U+oI,SQ - 1k,0.41
1,SchemEX+U+oI,SQ - 100k,0.43
1,SchemEX+U+oI,SQ - 200k,0.43
1,SchemEX+U+pI,SQ - 1k,0.88
1,SchemEX+U+pI,SQ - 100k,0.89
1,SchemEX+U+pI,SQ - 200k,0.91
1,Characteristic Sets,CQ - 1k,0.68
1,Characteristic Sets,CQ - 100k,0.71
1,Characteristic Sets,CQ - 200k,0.72
1,W-Property Clique,CQ - 1k,0.89
1,W-Property Clique,CQ - 100k,0.92
1,W-Property Clique,CQ - 200k,0.89
1,SemSets,CQ - 1k,0.31
1,SemSets,CQ - 100k,0.32
1,SemSets,CQ - 200k,0.33
1,SchemEX,CQ - 1k,0.16
1,SchemEX,CQ - 100k,0.17
1,SchemEX,CQ - 200k,0.18
1,TermPicker,CQ - 1k,0.12
1,TermPicker,CQ - 100k,0.14
1,TermPicker,CQ - 200k,0.15
1,SchemEX+U+oI,CQ - 1k,0.13
1,SchemEX+U+oI,CQ - 100k,0.13
1,SchemEX+U+oI,CQ - 200k,0.14
1,SchemEX+U+pI,CQ - 1k,0.39
1,SchemEX+U+pI,CQ - 100k,0.41
1,SchemEX+U+pI,CQ - 200k,0.43
2,Characteristic Sets,SQ - 1k,0
2,Characteristic Sets,SQ - 100k,0
2,Characteristic Sets,SQ - 200k,0
2,W-Property Clique,SQ - 1k,0
2,W-Property Clique,SQ - 100k,0
2,W-Property Clique,SQ - 200k,0
2,SemSets,SQ - 1k,0.49
2,SemSets,SQ - 100k,0.50
2,SemSets,SQ - 200k,0.50
2,SchemEX,SQ - 1k,0.49
2,SchemEX,SQ - 100k,0.49
2,SchemEX,SQ - 200k,0.50
2,TermPicker,SQ - 1k,0.35
2,TermPicker,SQ - 100k,0.36
2,TermPicker,SQ - 200k,0.36
2,SchemEX+U+oI,SQ - 1k,0.41
2,SchemEX+U+oI,SQ - 100k,0.43
2,SchemEX+U+oI,SQ - 200k,0.43
2,SchemEX+U+pI,SQ - 1k,0.57
2,SchemEX+U+pI,SQ - 100k,0.59
2,SchemEX+U+pI,SQ - 200k,0.60
2,Characteristic Sets,CQ - 1k,0.03
2,Characteristic Sets,CQ - 100k,0.13
2,Characteristic Sets,CQ - 200k,0.15
2,W-Property Clique,CQ - 1k,0.51
2,W-Property Clique,CQ - 100k,0.58
2,W-Property Clique,CQ - 200k,0.58
2,SemSets,CQ - 1k,0.23
2,SemSets,CQ - 100k,0.25
2,SemSets,CQ - 200k,0.25
2,SchemEX,CQ - 1k,0.08
2,SchemEX,CQ - 100k,0.09
2,SchemEX,CQ - 200k,0.09
2,TermPicker,CQ - 1k,0.04
2,TermPicker,CQ - 100k,0.04
2,TermPicker,CQ - 200k,0.04
2,SchemEX+U+oI,CQ - 1k,0.06
2,SchemEX+U+oI,CQ - 100k,0.07
2,SchemEX+U+oI,CQ - 200k,0.08
2,SchemEX+U+pI,CQ - 1k,0.07
2,SchemEX+U+pI,CQ - 100k,0.08
2,SchemEX+U+pI,CQ - 200k,0.09
