Iteration,NewlyObservedSchema (SE_new),DeletedSchemaStructures (SE_del),ChangedSchemaStructures (SE_mod),InstanceAddedWithKnownSchema (PE_add),InstancesDeleted (PE_del),InstanceNotChanged (PE_mod),TotalNumberOfSchemaElementsWritten,TotalNumberOfSchemaElementsDeleted,TotalNumberOfNewInstances,ChangedSchemaStructuresBecauseOfNeighbor,TotalNumberOfChangedPayloadElements (real PE_mod),PayloadEntriesAdded,PayloadEntriesRemoved,InstanceToSchemaLinksAdded,InstanceToSchemaLinksRemoved
0,9814,0,0,0,0,0,10136,0,9866,0,9866,22189,0,9866,0 
1,7859,984,6120,0,0,2747,7877,7098,1863,2577,3574,2537,744,7983,7119 
2,7836,1007,6025,0,0,3660,7856,7023,1944,2200,3686,2645,720,7969,7070 
3,7864,1024,6021,0,0,4526,7882,7029,2039,1889,3721,2788,613,8060,7103 
4,7669,1044,5780,0,0,5689,7686,6806,2122,1650,3801,2948,573,7902,6897 
5,7701,1068,5761,0,0,6673,7723,6798,2194,1471,3881,3075,547,7955,6918 
6,8000,1087,6039,0,0,7387,8018,7094,2253,1466,3977,3205,536,8292,7241 
7,8005,1105,5994,0,0,8465,8027,7053,2316,1285,4067,3285,538,8310,7214 
8,7758,1112,5757,0,0,9766,7776,6822,2356,1221,4097,3386,495,8113,7009 
9,8004,1095,5956,0,0,10676,8017,6981,2406,1215,4183,3468,535,8362,7203 
10,7884,1132,5866,0,0,11867,7897,6907,2439,1104,4234,3517,493,8305,7171 
11,8034,1133,5980,0,0,12898,8045,7038,2464,1063,4277,3532,526,8444,7274 
12,8054,1125,6054,0,0,13958,8069,7098,2468,1134,4264,3561,473,8522,7384 
13,7968,1113,5958,0,0,15203,7984,6962,2475,1034,4259,3600,469,8433,7277 
14,7959,1110,5976,0,0,16355,7963,6980,2488,1015,4281,3619,495,8464,7281 
15,7836,1090,5791,0,0,17720,7850,6773,2491,888,4275,3608,483,8282,7099 
16,7952,1094,5926,0,0,18759,7972,6930,2477,1010,4291,3548,501,8403,7243 
17,7793,1083,5875,0,0,19987,7805,6853,2447,1055,4185,3538,443,8322,7175 
18,7725,1076,5810,0,0,21206,7734,6772,2442,954,4261,3550,530,8252,7103 
19,7822,1058,5897,0,0,22288,7839,6850,2410,982,4170,3535,495,8307,7170 
20,7386,1026,5532,0,0,23816,7396,6439,2379,918,4072,3411,447,7911,6779 
21,7335,1009,5514,0,0,24975,7345,6410,2349,907,4043,3304,459,7863,6752 
22,7309,1000,5519,0,0,26104,7318,6394,2318,958,3952,3251,422,7837,6734 
23,7061,984,5281,0,0,27451,7072,6160,2268,932,3901,3191,430,7549,6490 
24,6976,941,5308,0,0,28508,6991,6123,2217,923,3860,3104,464,7525,6492 
25,6957,932,5347,0,0,29520,6963,6167,2176,989,3770,3016,432,7523,6513 
26,6755,905,5164,0,0,30752,6768,5956,2124,894,3672,2967,423,7288,6291 
27,6441,886,4859,0,0,32086,6453,5633,2071,827,3546,2872,382,6930,5954 
28,6218,858,4719,0,0,33237,6224,5456,2020,840,3492,2806,419,6739,5779 
29,6083,840,4647,0,0,34286,6092,5351,1955,817,3371,2680,381,6602,5690 
30,5877,796,4543,0,0,35346,5885,5209,1886,700,3295,2522,416,6429,5542 
31,5664,783,4355,0,0,36439,5671,5020,1844,730,3181,2465,363,6199,5336 
32,5319,760,4059,0,0,37612,5323,4695,1786,621,3107,2373,356,5845,5026 
33,5201,734,3999,0,0,38524,5205,4599,1720,644,2987,2257,338,5719,4933 
34,5089,708,3946,0,0,39393,5092,4519,1665,589,2932,2247,366,5611,4850 
35,4718,683,3611,0,0,40530,4722,4181,1599,556,2773,2134,313,5210,4474 
36,4713,637,3662,0,0,41243,4718,4181,1548,572,2705,2032,325,5210,4497 
37,4352,634,3343,0,0,42306,4357,3867,1485,501,2544,1921,260,4828,4147 
38,4206,616,3262,0,0,43087,4212,3770,1437,579,2516,1841,299,4699,4047 
39,4165,567,3289,0,0,43747,4166,3740,1364,529,2401,1766,294,4653,4039 
40,3764,562,2894,0,0,44776,3768,3365,1323,515,2295,1655,245,4217,3624 
41,3758,527,2995,0,0,45302,3762,3417,1265,465,2222,1593,265,4260,3691 
42,3504,501,2754,0,0,46147,3511,3160,1215,408,2114,1528,240,3969,3415 
43,3418,496,2699,0,0,46763,3423,3108,1166,375,2059,1478,241,3865,3353 
44,3224,461,2583,0,0,47422,3226,2937,1114,429,1988,1348,255,3697,3206 
45,2962,443,2343,0,0,48182,2966,2692,1062,367,1866,1346,216,3405,2937 
46,2900,418,2319,0,0,48693,2909,2642,1015,318,1817,1259,228,3334,2894 
47,2678,407,2177,0,0,49305,2681,2478,965,329,1726,1175,220,3142,2722 
48,2635,370,2108,0,0,49813,2637,2387,924,303,1662,1117,212,3032,2634 
49,2365,362,1894,0,0,50440,2365,2192,874,302,1540,1055,155,2768,2405 
