"Imprint links","Sec. Index Size Homogen (bytes)"
9488,251621
9951,267270
10482,274748
11363,297096
12403,325247
13503,351654
14629,379202
15864,409633
16984,440022
18116,469790
19228,497364
20326,525348
21494,553851
22646,580381
23743,606731
24890,634935
25986,660906
27105,686394
28193,712756
29283,741074
30339,763205
31338,791059
32368,811860
33340,834057
34330,859479
35267,879388
36126,899172
37025,918491
37924,939970
38753,960238
39565,975994
40361,1000614
41110,1012403
41818,1027171
42498,1042816
43186,1059966
43823,1069923
44396,1080966
44974,1092672
45485,1102762
45985,1114368
46479,1123071
46954,1134344
47459,1147613
47955,1156118
48410,1167055
48865,1176920
49307,1188500
49721,1196216
50111,1203728
