Iteration,Load Graph_1,Parse Graph_1,Partition Graph_1,Schema Computation_1,Updates_1,Total_1,Batch_1,Load Graph_2,Parse Graph_2,Partition Graph_2,Schema Computation_2,Updates_2,Total_2,Batch_2,Load Graph_3,Parse Graph_3,Partition Graph_3,Schema Computation_3,Updates_3,Total_3,Batch_3,Load Graph_mean,Load Graph_std,Parse Graph_mean,Parse Graph_std,Partition Graph_mean,Partition Graph_std,Schema Computation_mean,Schema Computation_std,Updates_mean,Updates_std,Total_mean,Total_std,Batch_mean,Batch_std
0,493806,11486,923631,99720,437515,1966158,1967641,456374,443991,497658,91083,500983,1990089,1986930,489374,11895,908844,89476,418469,1918058,2037003,479851.3333333333,20452.372511113066,155790.66666666666,249588.89382409095,776711.0,241780.0580052044,93426.33333333333,5509.382209770288,452322.3333333333,43203.96844426833,1958101.6666666667,36685.073535885596,1997191.3333333333,35801.438271853454
1,482120,10761,902343,93275,394946,1883445,1977454,490185,11404,903533,99990,424544,1929656,1992236,477123,452701,450994,99369,477916,1958103,1984585,483142.6666666667,6590.777369425653,158288.66666666666,254968.762550108,752290.0,260930.66844853634,97544.66666666667,3710.653626159862,432468.6666666667,42048.84637339452,1923734.6666666667,37679.58176961805,1984758.3333333333,7392.524219326801
2,445588,480309,470820,91981,444610,1933308,1993127,490058,12216,906654,98559,478626,1986113,2026953,483713,12418,909775,99485,461985,1967376,2073850,473119.6666666667,24053.258788225212,168314.33333333334,270195.3260556765,762416.3333333334,252534.653800886,96675.0,4091.405137602484,461740.3333333333,17009.319808073848,1962265.6666666667,26770.854232417263,2031310.0,40537.49213999307
3,455122,462289,501384,97082,421189,1937066,1963278,464819,445962,498323,105783,425090,1939977,2006706,464237,488693,462417,107515,454848,1977710,2048576,461392.6666666667,5438.347757668071,465648.0,21562.62393587571,487374.6666666667,21668.093463277597,103460.0,5590.985512411922,433709.0,18410.52527767744,1951584.3333333333,22672.25891554111,2006186.6666666667,42651.371388659165
4,461177,494200,475286,92456,432470,1955589,1997597,463290,491457,463035,106582,457399,1981763,2038538,457596,494090,483227,108825,451865,1995603,2079863,460687.6666666667,2878.3666085704463,493249.0,1552.8918185115149,473849.3333333333,10172.375550152154,102621.0,8874.298901885151,447244.6666666667,13091.003412012897,1977651.6666666667,20321.35195633729,2038666.0,41133.14936884848
5,468003,487720,467796,91334,436350,1951203,2014555,483886,458406,461266,108608,442622,1954788,2034689,448057,484508,473185,96117,455871,1957738,2075067,466648.6666666667,17952.854211331785,476878.0,16077.63427871153,467415.6666666667,5968.595340055593,98686.33333333333,8919.017565479582,444947.6666666667,9966.13788452344,1954576.3333333333,3272.6378249560908,2041437.0,30815.209945739458
6,491047,453362,480842,92338,406208,1923797,2010909,465132,487189,466476,107967,438008,1964772,1998645,463695,488219,460002,108570,453083,1973569,2055481,473291.3333333333,15393.635578814165,476256.6666666667,19834.050174720574,469106.6666666667,10666.147633205408,102958.33333333333,9202.41883057565,432433.0,23929.623377729957,1954046.0,26563.100402626198,2021678.3333333333,29909.30673441518
7,493102,460287,477144,105366,402789,1938688,1984162,473255,13710,895726,97653,432459,1912803,2003910,448847,488468,472479,108326,508182,2026302,2038916,471734.6666666667,22166.637461133643,320821.6666666667,266339.49020438804,615116.3333333334,243026.2934876252,103781.66666666667,5510.065002641379,447810.0,54347.594362584256,1959264.3333333333,59481.466612158554,2008996.0,27729.058332370394
8,492453,11787,922297,98359,426426,1951322,2014342,460357,448204,500639,98909,443792,1951901,2011233,489423,452603,481190,104580,477460,2005256,2080722,480744.3333333333,17720.828009247572,304198.0,253244.9061501534,634708.6666666666,249248.5767308077,100616.0,3443.921747078467,449226.0,25947.322713528654,1969493.0,30973.019500849445,2035432.3333333333,39252.79480920223
9,497608,12075,934723,96381,411969,1952756,2006473,480867,459832,460313,101726,470526,1973264,2012459,462027,448047,496622,104319,497587,2008602,2103351,480167.3333333333,17800.81572100934,306651.3333333333,255178.6309163315,630552.6666666666,264044.08652786247,100808.66666666667,4047.7260694534816,460027.3333333333,43763.87759709294,1978207.3333333333,28249.271447832656,2040761.0,54287.09905677407
